,year,round,pick,player,position,school
2074,2017,1,28,"Bradley, Tony",PF/C,North Carolina
2075,2017,1,29,"White, Derrick",PG/SG,Colorado
2076,2017,1,30,"Hart, Josh",SG,Villanova
2077,2017,2,31,"Jackson, Frank",PG,Duke
2078,2017,2,32,"Reed, Davon",SG,Miami
2079,2017,2,33,"Iwundu, Wes",SF,Kansas State
2080,2017,2,34,"Mason III, Frank",PG,Kansas
2081,2017,2,35,"Rabb, Ivan",PF,California
2082,2017,2,36,"Bolden, Jonah",PF,FMP Beograd
2083,2017,2,37,"Ojeleye, Semi",SF/PF,SMU
2084,2017,2,38,"Bell, Jordan",PF,Oregon
2085,2017,2,39,"Evans, Jawun",PG,Oklahoma State
2086,2017,2,40,"Bacon, Dwayne",SG,Florida State
2087,2017,2,41,"Dorsey, Tyler",SG,Oregon
2088,2017,2,42,"Bryant, Thomas",PF,Indiana
2089,2017,2,43,"Hartenstein, Isaiah",PF/C,å_algiris Kaunas
2090,2017,2,44,"Dotson, Damyean",SG,Houston
2091,2017,2,45,"Brooks, Dillon",SF,Oregon
2092,2017,2,46,"Brown, Sterling",SG,SMU
2093,2017,2,47,"Anigbogu, Ike",C,UCLA
2094,2017,2,48,"Thornwell, Sindarius",SG,South Carolina
2095,2017,2,49,"åÛÌ_anåÛåar, Vlatko",SF,Mega Leks
2096,2017,2,50,"Lessort, Mathias",PF/C,Nanterre 92
2097,2017,2,51,"Morris, MontÌÎå©",PG,Iowa State
2098,2017,2,52,"Sumner, Edmond",PG,Xavier
2099,2017,2,53,"Allen, Kadeem",SG,Arizona
2100,2017,2,54,"Peters, Alec",SF,Valparaiso
2101,2017,2,55,"Williams-Goss, Nigel",PG,Gonzaga
2102,2017,2,56,"Bird, Jabari",SG,California
2103,2017,2,57,"Vezenkov, Sasha",PF,FC Barcelona Lassa
2104,2017,2,58,"Jaramaz, Ognjen",PG,Mega Leks
2105,2017,2,59,"Blossomgame, Jaron",SF,Clemson
2106,2017,2,60,"Kaba, Alpha",PF/C,Mega Leks
2107,2018,1,1,DeAndre Ayton,C,Arizona
2108,2018,1,2,Jaren Jackson Jr.,PF,Michigan St.
2109,2018,1,3,Michael Porter,SF,Missouri
2110,2018,1,4,Marvin Bagley,PF,Duke
2111,2018,1,5,Luka Doncic,SG/SF,Slovenia
2112,2018,1,6,Wendell Carter,PF/C,Duke
2113,2018,1,7,Trae Young,PG,Oklahoma
2114,2018,1,8,Mohamed Bamba,C,Texas
2115,2018,1,9,Collin Sexton,PG,Alabama
2116,2018,1,10,Kevin Knox,SF/PF,Kentucky
2117,2018,1,11,Mikal Bridges,SG/SF,Villanova
2118,2018,1,12,Miles Bridges,SF/PF,Michigan St.
2119,2018,1,13,Shai Gilgeous-Al...,PG,Kentucky
2120,2018,1,14,Robert Williams,PF/C,Texas A&M
2121,2018,1,15,Gary Trent Jr.,SG,Duke
2122,2018,1,16,Lonnie Walker,SG,Miami
2123,2018,1,17,Dzanan Musa,SF,Bosnia & Herz
2124,2018,1,18,Hamidou Diallo,SG,Kentucky
2125,2018,1,19,Khyri Thomas,PG/SG,Creighton
2126,2018,1,20,Mitchell Robinson,C,USA
2127,2018,1,21,Trevon Duval,PG,Duke
2128,2018,1,22,Grayson Allen,SG,Duke
2129,2018,1,23,Chimezie Metu,PF/C,USC
2130,2018,1,24,Landry Shamet,PG/SG,Wichita State
2131,2018,1,25,Brandon McCoy,C,UNLV
2132,2018,1,26,Troy Brown,PG/SG,Oregon
2133,2018,1,27,Omer Yurtseven,C,NC State
2134,2018,1,28,Austin Wiley,C,Auburn
2135,2018,1,29,Tony Carr,PG,Penn State
2136,2018,1,30,Moritz Wagner,PF,Michigan
2137,2018,2,31,Rodions Kurucs,SF,Latvia
2138,2018,2,32,Bruce Brown,SG,Miami
2139,2018,2,33,Kerwin Roach,PG/SG,Texas
2140,2018,2,34,Isaac Bonga,SF,Germany
2141,2018,2,35,Robert Franks,SF/PF,Washington State
2142,2018,2,36,Chandler Hutchison,SG/SF,Boise State
2143,2018,2,37,Kenrich Williams,SF,TCU
2144,2018,2,38,Keita Bates-Diop,SF,Ohio State
2145,2018,2,39,Alize Johnson,PF,Missouri State
2146,2018,2,40,Aaron Holiday,PG,UCLA
2147,2018,2,41,Sviatoslav Mykha,SG,Kansas
2148,2018,2,42,Jaylen Adams,PG/SG,St. Bonaventure
2149,2018,2,43,Kevin Hervey,SF,Texas Arlington
2150,2018,2,44,Allonzo Trier,SG,Arizona
2151,2018,2,45,Keenan Evans,PG/SG,Texas Tech
2152,2018,2,46,Shake Milton,PG/SG,SMU
2153,2018,2,47,Goga Bitadze,C,Rep. of Georgia
2154,2018,2,48,Jalen Brunson,PG,Villanova
2155,2018,2,49,Thomas Wilder,PG,Western Michigan
2156,2018,2,50,Rawle Alkins,SG,Arizona
2157,2018,2,51,Jalen Hudson,SG,Florida
2158,2018,2,52,Devonte Graham,PG,Kansas
2159,2018,2,53,Arnoldas Kulboka,SF,Lithuania
2160,2018,2,54,Melvin Frazier,SG/SF,Tulane
2161,2018,2,55,Joel Berry,PG,North Carolina
2162,2018,2,56,Jacob Evans,SF,Cincinnati
2163,2018,2,57,Jevon Carter,PG,West Virginia
2164,2018,2,58,Borisa Simanic,SF/PF,Serbia
2165,2018,2,59,Bonzie Colson,SF/PF,Notre Dame
2166,2018,2,60,Kendall Stephens,SG/SF,Nevada
